Cuisine,Test_Samples,Accuracy,Precision,Recall
North Indian,599,0.998330550918197,0.36089318044659024,0.998330550918197
Indian,10,0.5,0.45454545454545453,0.5
American,56,0.44642857142857145,0.36231884057971014,0.44642857142857145
European,12,0.16666666666666666,0.5,0.16666666666666666
Desserts,30,0.03333333333333333,0.25,0.03333333333333333
Cafe,124,0.03225806451612903,0.3076923076923077,0.03225806451612903
Italian,47,0.02127659574468085,0.1,0.02127659574468085
Continental,47,0.02127659574468085,1.0,0.02127659574468085
Fast Food,135,0.007407407407407408,1.0,0.007407407407407408
Asian,15,0.0,0.0,0.0
Chinese,171,0.0,0.0,0.0
Beverages,16,0.0,0.0,0.0
Biryani,22,0.0,0.0,0.0
Burger,23,0.0,0.0,0.0
Bakery,124,0.0,0.0,0.0
Healthy Food,11,0.0,0.0,0.0
Ice Cream,36,0.0,0.0,0.0
Finger Food,16,0.0,0.0,0.0
Japanese,14,0.0,0.0,0.0
Mexican,12,0.0,0.0,0.0
Mithai,49,0.0,0.0,0.0
Mughlai,43,0.0,0.0,0.0
Pizza,46,0.0,0.0,0.0
Raw Meats,22,0.0,0.0,0.0
South Indian,53,0.0,0.0,0.0
Street Food,47,0.0,0.0,0.0
